QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy
Question 66,dogs,dog,plural,MH
Question 66,slides,slide,plural,MH
Question 66,swins,swans,typo,MH
Question 66,sitter,babysitter,typo,MH
Question 66,dof,dog,typo,MH
Question 66,pidgeons,pigeons,typo,MH
Question 661,meade,mead,typo,AZ
Question 661,beers,beer,plural,AZ
Question 661,meed,mead,typo,AZ
Question 662,lady,ladies,plural,AZ
Question 662,women,woman,plural,AZ
Question 662,song,songs,plural,AZ
Question 663,ventrical,ventricle,typo,AZ
Question 663,"ventricle (not sure here due to the word """"sugary"""")",ventricle,typo,AZ
Question 664,wg,wag,typo,AZ
Question 664,waag,wag,typo,AZ
Question 665,stopsign,stop sign,typo,AZ
Question 666,a bully,bully,typo,AZ
Question 667,leach,leash,typo,AZ
Question 667,leashe,leash,typo,AZ
Question 667,leashes,leash,plural,AZ
Question 67,surfer,surfers,plural,MH
Question 67,whale,whales,plural,MH
Question 67,gulls,seagulls,typo,MH
Question 67,children play,children,typo,MH
Question 670,book,books,plural,AZ
Question 670,creeds,creed,plural,AZ
Question 670,princaples,principle,plural,AZ
Question 670,doctrine,doctrines,plural,AZ
Question 670,docterine,doctrines,typo,AZ
Question 670,gods,god,plural,AZ
Question 671,molds,mold,plural,AZ
Question 671,fertalizer,fertilizer,typo,AZ
Question 671,gasses,gas,plural,AZ
Question 671,peet,peat,typo,AZ
Question 671,spores,spore,plural,AZ
Question 671,molds,mold,plural,AZ
Question 672,pencil,pencils,plural,AZ
Question 672,crayon,crayons,plural,AZ
Question 676,jokes,joke,plural,AZ
Question 679,atop,stop,typo,AZ
Question 68,cockroach,roach,typo,MH
Question 682,ehad,head,typo,MH
Question 682,heed,head,typo,MH
Question 685,classes,class,plural,MH
Question 686,jungement,judgement,typo,MH
Question 686,judgment,judgement,typo,MH
Question 686 ,luvk,luck,typo,MH
Question 687,sooth,soothe,typo,MH
Question 688,knit,knitted,typo,MH
Question 689,burgler,burglar,typo,MH
Question 689,buglar,burglar,typo,MH
Question 689,burgular,burglar,typo,MH
Question 689,burdlarv,burglar,typo,MH
Question 689,burglars,burglar,plural,MH
Question 689,theif,thief,typo,MH
Question 689,thieves,thief,plural,MH
Question 689,criminals,criminal,plural,MH
Question 689,intruders,intruder,plural,MH
Question 69,emotions,emotion,plural,MH
Question 69,compsure,composure,typo,MH
Question 692,mountian,mountain,typo,MH
Question 692,mountains,mountain,plural,MH
Question 692,mines,mine,plural,MH
Question 692,streams,stream,plural,MH
Question 692,rivers,river,plural,MH
Question 692,caves,cave,plural,MH
Question 694,arm,arms,plural,MH
Question 695,tac,tack,typo,MH
Question 696,pijamas,pajamas,typo,MH
Question 698,fins,fin,plural,MH
Question 698,flippers,flipper,plural,MH
Question 699,udders,udder,plural,MH
Question 699,utter,udder,typo,MH
Question 699,utters,udder,typo,MH
Question 70,yatch,yacht,typo,MH
Question 701,crayones,crayon,typo,MH
Question 701,crayons,crayon,plural,MH
Question 701,books,books,plural,MH
Question 703,lyintg,lying,typo,MH
Question 703,lies,lying,tense,MH
Question 703,lie,lying,tense,MH
Question 704,sparce,sparse,typo,MH
Question 708,games,game,plural,MH
Question 708,tournaments,tournament,plural,MH
Question 71,nitch,notch,typo,MH
Question 71,notches,notch,plural,MH
Question 71,niche,notch,typo,MH
Question 71,nick,nock,typo,MH
Question 71,dents,indentation,typo,MH
Question 71,quivver,quiver,typo,MH
Question 71,nook,nock,typo,MH
Question 71,clips,clip,plural,MH
Question 713,windows,window,plural,MH
Question 715,speaker,speakers,plural,MH
Question 715,noises,noise,plural,MH
Question 718,hanging,hung,tense,MH
Question 72,policies,policy,plural,MH
Question 72,salaries,salary,plural,MH
Question 721,stocks,stock,plural,MH
Question 721,shares,share,plural,MH
Question 722,shost,ghost,typo,MH
Question 722,haint,saint,typo,MH
Question 722,2nd,second,typo,MH
Question 722,3rd,third,typo,MH
Question 727,boun,noun,typo,MH
Question 73,feed,fed,tense,MH
Question 73,petted,pet,tense,MH
Question 731,lemons,lemon,plural,MH
Question 735,barette,barrette,typo,MH
Question 735,barrett,barrette,typo,MH
Question 735,scrunchee,scrunchie,typo,MH
Question 735,scrunchy,scrunchie,typo,MH
Question 736,fans,fan,plural,MH
Question 737,scultpure,sculpture,typo,MH
Question 737,pots,pot,plural,MH
Question 737,vases,vase,plural,MH
Question 738,unkown,unknown,typo,MH
Question 738,rae disease,rare disease,typo,MH
Question 74,doorlock,lock,typo,MH
Question 741,wrongly,wrong,tense,MH
Question 743,pup,puppy,typo,MH
Question 744,shutup,shut up,typo,MH
Question 744,be quite,be quiet,typo,MH
Question 746,finalised,finalized,typo,MH
Question 746,duel,dual,typo,MH
Question 749,lupis,lupus,typo,MH
Question 749,lime,lyme,typo,MH
Question 749,iceburg,iceberg,typo,MH
Question 749,rock,rocks,plural,MH
Question 749,cliffs,cliff,plural,MH
Question 749,shoals,shoal,plural,MH
Question 752,coasters,coaster,plural,MH
Question 752,roller coaster,rollercoaster,typo,MH
Question 752,rollercoasters,rollercoaster,plural,MH
Question 752,ride,rides,plural,MH
Question 753,vengence,vengeance,typo,MH
Question 753,vengance,vengeance,typo,MH
Question 754,arguement,argument,typo,MH
Question 756,looking ,look,tense,MH
Question 757,theif,thief,typo,MH
Question 757,culrpit,culprit,typo,MH
Question 757,criminals,criminal,plural,MH
Question 76,brake,break,typo,MH
Question 761,growling ,growl,tense,MH
Question 762,finihed,finished,typo,MH
Question 765,bicycyle,bicycle,typo,MH
Question 769,posion,poison,typo,MH
Question 769,victims,victim,plural,MH
Question 769,captives,captive,plural,MH
Question 769,toxins,toxin,plural,MH
Question 769,hostages,hostage,plural,MH
Question 77,airplane,plane,typo,MH
Question 770,courus,chorus,typo,MH
Question 772,notes,note,plural,MH
Question 773,hoove,hoof,typo,MH
Question 773,hooves,hoof,plural,MH
Question 773,fot,foot,typo,MH
Question 773,feet,foot,plural,MH
Question 774,kismit,kismet,typo,MH
Question 778,emerylad,emerald,typo,MH
Question 778,emeralds,emerald,plural,MH
Question 78,rise,raise,tense,MH
Question 781,tatoo,tattoo,typo,MH
Question 781,pregancy,pregnancy ,typo,MH
Question 781,mistakes,mistake,plural,MH
Question 781,behaviors,behavior,plural,MH
Question 781,lies,lie,plural,MH
Question 784,manevuer,maneuver,typo,MH
Question 784,manuever,maneuver,typo,MH
Question 785,wheez,wheeze ,typo,MH
Question 785,caugh,cough,typo,MH
Question 788,maime,maim,typo,MH
Question 79,shir,shirt,typo,MH
Question 791,sails,sail,plural,MH
Question 792,fields,field,plural,MH
Question 793,parties,party,plural,MH
Question 794,knit,knitted,tense,MH
Question 794,sewn,sewed,tense,MH
Question 796,blowout,blow-out,typo,MH
Question 796,homerun,home run,typo,MH
Question 797,cats,cat,plural,MH
Question 797,dogs,dog,plural,MH
Question 797,mother's,mother,typo,MH
Question 797,sons,son,plural,MH
Question 798,bag,bags,plural,MH
Question 799,tange,tang,typo,MH
Question 8,crowed,crowded,typo,JP
Question 800,bel,bell,typo,BM
Question 800,bells,bell,plural,BM
Question 800,chimer,chime,typo,BM
Question 801,rock,rocks,plural,BM
Question 801,crowds,crowd,plural,BM
Question 801,alligators,alligator,plural,BM
Question 801,damn,dam,typo,BM
Question 801,beavers,beaver,plural,BM
Question 801,rafters,rafter,plural,BM
Question 802,laws,law,plural,BM
Question 802,lawyers,lawyers,plural,BM
Question 802,courts,court,plural,BM
Question 802,documents,document,plural,BM
Question 803,years,year,plural,BM
Question 804,key,keys,plural,BM
Question 804,line,lines,plural,BM
Question 805,rats,rat,plural,BM
Question 805,mice,mouse,plural,BM
Question 805,roaches,roach,plural,BM
Question 810,$20,twenty,typo,BM
Question 810,$100,hundred,typo,BM
Question 810,100,hundred,typo,BM
Question 811,lions,lion,plural,BM
Question 811,tigers,tiger,plural,BM
Question 811,bear,bears,plural,BM
Question 811,alligators,alligator,plural,BM
Question 811,elephant,elephants,plural,BM
Question 811,monkeys,monkey,plural,BM
Question 811,animials,animals,typo,BM
Question 811,animal,animals,plural,BM
Question 813,steriods,steroids,typo,BM
Question 813,dope,doping,tense,BM
Question 814,snobbish,snobby,tense,BM
Question 815,clothing,clothes,tense,BM
Question 815,dress,dresses,plural,BM
Question 815,wig,wigs,plural,BM
Question 815,cloths,clothes,typo,BM
Question 816,hopes,hope,plural,BM
Question 817,layed,laid,typo,BM
Question 817,defacated,defecated,typo,BM
Question 817,poo,pooped,tense,BM
Question 822,prision,prison,typo,BM
Question 823,brethed,breathed,typo,BM
Question 825,vegetable,vegetables,plural,BM
Question 825,brocolli,broccoli,typo,BM
Question 825,pea,peas,plural,BM
Question 825,pes,peas,typo,BM
Question 825,brociolli,broccoli,typo,BM
Question 826,signs,sign,plural,BM
Question 827,yellowed,yellow,tense,BM
Question 828,spitup,spit up,typo,BM
Question 829,lighting,light,tense,BM
Question 833,tanned,tan,tense,BM
Question 835,shivver,shiver,typo,BM
Question 836,cage,cages,plural,BM
Question 836,coup,coops,typo,BM
Question 836,pens,pen,plural,BM
Question 837,knots,knot,plural,BM
Question 839,heart,hear,typo,BM
Question 84,granfather,grandfather,typo,MH
Question 840,grashopper,grasshopper,typo,BM
Question 840,caterpiller,caterpillar,typo,BM
Question 841,rewach,reach,typo,BM
Question 844,broke,broken,tense,BM
Question 845,breaks,brakes,plural,BM
Question 845,brake,brakes,typo,BM
Question 845,light,lights,plural,BM
Question 846,walls,wall,plural,BM
Question 846,wall`,wall,typo,BM
Question 854,lizzard,lizard,typo,HG
Question 856,bby,baby,typo,HG
Question 857,ethusiasm,enthusiasm,typo,HG
Question 859,pourous,porous,typo,HG
Question 859,managable,manageable,typo,HG
Question 859,concret,concrete,typo,HG
Question 861,dictaor,dictator,typo,HG
Question 861,matriach,matriarch,typo,HG
Question 861,monarche,monarch,typo,HG
Question 862,molt,mold,typo,HG
Question 862,molder,mold,tense,HG
Question 862,mould,mold,typo,HG
Question 863,loonie,loon,typo,HG
Question 863,bluejay,blue jay,typo,HG
Question 864,starchy,starched,typo,HG
Question 864,courderoy,corduroy,typo,HG
Question 864,cordruoy,corduroy,typo,HG
Question 864,course,coarse,typo,HG
Question 866,fanfair,fanfare,typo,HG
Question 866,antisipation,anticipation,typo,HG
Question 866,surpsrise,surprise,typo,HG
Question 866,enthusiam,enthusiasm,typo,HG
Question 870,laugher,laughter,typo,HG
Question 872,pary,pray,typo,HG
Question 874,conconction,concoction,typo,HG
Question 875,blusher,blush,typo,HG
Question 877,sadle,saddle,typo,HG
Question 877,rein,reins,plural,HG
Question 877,saddel,saddle,typo,HG
Question 877,reigns,reins,typo,HG
Question 877,bridal,bridle,typo,HG
Question 877,reign,reins,typo,HG
Question 878,pandas,panda,plural,HG
Question 878,penguin,penguins,plural,HG
Question 878,monkeys,monkey,plural,HG
Question 878,panda`,panda,typo,HG
Question 878,meercat,meerkat,typo,HG
Question 878,cubs,cub,plural,HG
Question 878,chimps,chimp,plural,HG
Question 878,otter,otters,plural,HG
Question 882,hosue,house,typo,HG
Question 884,exibit,exhibit,typo,HG
Question 886,kids,kid,plural,HG
Question 886,child,children,plural,HG
Question 886,chicld,children,typo,HG
Question 888,hamme,hammer,typo,HG
Question 888,wrentch,wrench,typo,HG
Question 890,sca,scam,typo,HG
Question 892,compsure,composure,typo,HG
Question 893,spped,speed,typo,HG
Question 894,indians,indian,plural,HG
Question 895,mit,mitt,typo,HG
Question 895,themometer,thermometer,typo,HG
Question 896,barked,bark,tense,HG
Question 898,sails,sail,plural,HG
Question 899,pirch,perch,typo,HG
Question 899,eyrie,aerie,typo,HG
Question 899,pearch,perch,typo,HG
Question 9,awake,wake,tense,MH
Question 9,rouse ,arouse ,typo,MH
Question 9,awaken ,wake,tense,MH
Question 9,arose,arouse ,tense,MH
Question 9,talk ,talk to,tense,MH
Question 9,deal,deal with,tense,MH
Question 900,thrills,thrill,plural,HG
Question 900,spped,speed,typo,HG
Question 900,loop,loops,plural,HG
Question 900,hill,hills,plural,HG
Question 901,begineer,beginner,typo,BM
Question 903,saurdays,saturdays,typo,BM
Question 903,sunday,sundays,plural,BM
Question 904,admonishion,admonition,typo,BM
Question 905,claw,claws,plural,BM
Question 905,fang,fangs,plural,BM
Question 905,tooth,teeth,plural,BM
Question 908,guita,guitar,typo,BM
Question 908,banjoj,banjo,typo,BM
Question 908,obe,oboe,typo,BM
Question 909,chock,choke,typo,BM
Question 91,plowing ,plow,tense,MH
Question 910,pant,panting,tense,BM
Question 910,breathe,breathing,tense,BM
Question 910,gasp,gasping,tense,BM
Question 910,weezing,wheezing,typo,BM
Question 910,falling,fall,tense,BM
Question 910,approach,approaching,tense,BM
Question 911,tried,tired,typo,BM
Question 911,vigour,vigor,typo,BM
Question 915,curves,curve,plural,BM
Question 915,symmentry,symmetry,typo,BM
Question 918,theif,thief,typo,BM
Question 92,gowl,growl,typo,MH
Question 922,tounge,tongue,typo,BM
Question 922,shoelace,shoelaces,plural,BM
Question 922,foot,feet,plural,BM
Question 924,injuury,injury,typo,BM
Question 927,hoofs,hooves,typo,BM
Question 927,hoofs,hooves,plural,BM
Question 927,foot,feet,plural,BM
Question 927,shoe,shoes,plural,BM
Question 928,lovw,love,typo,BM
Question 928,loev,love,typo,BM
Question 929,coacoa,cocoa,typo,BM
Question 93,ear,ears,plural,MH
Question 930,counterfit,counterfeit,typo,BM
Question 930,counterfiet,counterfeit,typo,BM
Question 934,vegetable,vegetables,plural,AZ
Question 934,spanich,spinach,typo,AZ
Question 938,plan,plans,plural,AZ
Question 939,chores,chore,plural,AZ
Question 94,hamer,hammer,typo,MH
Question 940,pies,pie,plural,AZ
Question 942,rule,rules,plural,AZ
Question 946,sooth,soothe,typo,AZ
Question 951,ripe,ripen,tense,AZ
Question 951,rotten,rot,tense,AZ
Question 954,practise,practice,typo,AZ
Question 96,cardinel,cardinal,typo,MH
Question 96,humingbird,hummingbird,typo,MH
Question 96,chickatee,chickadee,typo,MH
Question 96,bluejay,blue jay,typo,MH
Question 960,barking,bark,tense,AZ
Question 962,snaje,snake,typo,AZ
Question 967,seed,seeds,plural,AZ
Question 967,peeling,peelings,plural,AZ
Question 969,set,sat,typo,AZ
Question 969,lied,lived,typo,AZ
Question 97,fertilzer,fertilizer,typo,MH
Question 97,fertalizer,fertilizer,typo,MH
Question 97,ferterlizer,fertilizer,typo,MH
Question 973,railing,railings,plural,AZ
Question 973,beam,beams,plural,AZ
Question 973,cracks,crack,plural,AZ
Question 973,damages,damage,plural,AZ
Question 973,support,supports,plural,AZ
Question 973,beems,beams,typo,AZ
Question 973,rail,rails,plural,AZ
Question 974,spokes,spoke,plural,AZ
Question 974,wheels,wheel,plural,AZ
Question 974,axel,axle,typo,AZ
Question 978,too,to,typo,AZ
Question 978,metitated,meditated,typo,AZ
Question 978,medication,medications,plural,AZ
Question 979,tiles,tile,plural,AZ
Question 979,linolium,linoleum,typo,AZ
Question 979,linoleaom,linoleum,typo,AZ
Question 98,badly,bad,tense,MH
Question 981,0,zero,typo,AZ
Question 982,folks,folk,plural,AZ
Question 984,song,songs,plural,MH
Question 984,tune,tunes,plural,MH
Question 985,administator,administrator,typo,MH
Question 985,adminstrator,administrator,typo,MH
Question 986,ringing ,ring,tense,MH
Question 987,screws,screw,plural,MH
Question 987,part,parts,plural,MH
Question 987,hing,hinge,typo,MH
Question 987,pieces,piece,plural,MH
Question 987,nails,nail,plural,MH
Question 99,orgainic,organic,typo,MH
Question 990,peave,peeve,typo,MH
Question 990,pevee,peeve,typo,MH
Question 990,peive,peeve,typo,MH
Question 991,sautee,saute,typo,MH
Question 991,flambay,flambe,typo,MH
Question 993,raccoon,racoon,typo,MH
Question 993,rats,rat,plural,MH
Question 994,chesse,cheese,typo,MH
Question 994,pepper,peppers,plural,MH
Question 995,temperatures,temperature,plural,MH
Question 996,valleys,valley,plural,MH
Question 996,caves,cave,plural,MH
Question 997,numbers,number,plural,MH
Question 998,damn,dam,typo,MH
Question 998,levy,levee,typo,MH
Question 998,dyke,dike,typo,MH
Question 998,levies,levee,plural,MH
Question 998,walls,wall,plural,MH
Question 998,levees,levee,plural,MH
Question 3061,concideration,consideration,typo,JP
Question 3043,glich,glitch,typo,JP
Question 3062,messsage,message,typo,JP
Question 3065,knifes,knives,typo,JP
Question 3064,lepoard,leopard,typo,JP
Question 3043,studder,stutter,typo,JP
Question 3071,quivver,quiver,typo,JP
Question 3066,dof,dog,typo,JP
Question 3066,swins,swings,typo,JP
Question 3066,pidgeons,pigeons,typo,JP
Question 3050,weidth,width,typo,JP
Question 3079,shir,shirt,typo,JP
Question 2996,sinhg,sing,typo,JP
Question 3033,contruction,construction,typo,JP
Question 3048,nobel,noble,typo,JP
Question 3029,oneday,one day,typo,JP
Question 2034,utencils,utensils,typo,JP
Question 3004,utencil,utensil,typo,JP
Question 2951,fuscia,fuchsia,typo,JP
Question 2934,fuschia,fuchsia,typo,JP
